Άμπου Ντάμπι;AE;Asia;United Arab Emirates;Άμπου Ντάμπι;Άμπου Ντάμπι (AUH);AUH
Άμπου Ντάμπι;AE;Asia;United Arab Emirates;Abu Dhabi Bus Station;Άμπου Ντάμπι - Abu Dhabi Bus Station (ZVJ);ZVJ
Αλ Αΐν;AE;Asia;United Arab Emirates;;Αλ Αΐν (AAN);AAN
Αλ Αΐν;AE;Asia;United Arab Emirates;Al Ain Bus Station;Αλ Αΐν - Al Ain Bus Station (ZVH);ZVH
Αλ - Φουτζαϊρά;AE;Asia;United Arab Emirates;;Αλ - Φουτζαϊρά (FJR);FJR
Ντουμπάι;AE;Asia;United Arab Emirates;;Ντουμπάι (DXB);DXB
Ντουμπάι;AE;Asia;United Arab Emirates;Chelsea Tower Etihad Bus Station;Ντουμπάι - Chelsea Tower Etihad Bus Station (XNB);XNB
Ρας Αλ Καϊμά;AE;Asia;United Arab Emirates;;Ρας Αλ Καϊμά (RKT);RKT
Sharjah;AE;Asia;United Arab Emirates;Sharjah;Sharjah (SHJ);SHJ
Καμπούλ;AF;Asia;Afghanistan;;Καμπούλ (KBL);KBL
Μπαρισάλ;BD;Asia;Bangladesh;;Μπαρισάλ (BZL);BZL
Μπαζάρ;BD;Asia;Bangladesh;;Μπαζάρ (CXB);CXB
Τσιταγκόνγκ;BD;Asia;Bangladesh;;Τσιταγκόνγκ (CGP);CGP
Ντάκα;BD;Asia;Bangladesh;Zia International;Ντάκα - Zia International (DAC);DAC
Τζεσόρ;BD;Asia;Bangladesh;;Τζεσόρ (JSR);JSR
Ρατζσάχι;BD;Asia;Bangladesh;;Ρατζσάχι (RJH);RJH
Σιλχέτ;BD;Asia;Bangladesh;;Σιλχέτ (ZYL);ZYL
Μπαχρέιν;BH;Asia;Bahrain;;Μπαχρέιν (BAH);BAH
Μπάνταρ Σερί Μπεγκαβάν;BN;Asia;Brunei;;Μπάνταρ Σερί Μπεγκαβάν (BWN);BWN
Πάρο;BT;Asia;Bhutan;;Πάρο (PBH);PBH
 Mian Yang;CN;Asia;China;; Mian Yang (MIG);MIG
Ακσού;CN;Asia;China;;Ακσού (AKU);AKU
Αλτάι;CN;Asia;China;;Αλτάι (AAT);AAT
Ανκάνγκ;CN;Asia;China;;Ανκάνγκ (AKA);AKA
Ανκίνγκ;CN;Asia;China;;Ανκίνγκ (AQG);AQG
Baishan;CN;Asia;China;;Baishan (NBS);NBS
Μπάνγκντα;CN;Asia;China;;Μπάνγκντα (BPX);BPX
Μπαοσάν;CN;Asia;China;;Μπαοσάν (BSD);BSD
Μπαοτού;CN;Asia;China;;Μπαοτού (BAV);BAV
Μπιχέι;CN;Asia;China;;Μπιχέι (BHY);BHY
Πεκίνο;CN;Asia;China;;Πεκίνο (PEK);PEK
Τσανγκτσούν;CN;Asia;China;;Τσανγκτσούν (CGQ);CGQ
Τσανγκντέ;CN;Asia;China;;Τσανγκντέ (CGD);CGD
Τσάνγκσα;CN;Asia;China;Changsha Airport;Τσάνγκσα - Changsha Airport (CSX);CSX
Τσάνγκσα;CN;Asia;China;Changsha Huanghua Airport;Τσάνγκσα - Changsha Huanghua Airport (HHA);HHA
Changzhi;CN;Asia;China;Changzhi;Changzhi (CIH);CIH
Τσανγκτσού;CN;Asia;China;;Τσανγκτσού (CZX);CZX
Τσαογιάνγκ;CN;Asia;China;;Τσαογιάνγκ (CHG);CHG
Τσενγκντού;CN;Asia;China;;Τσενγκντού (CTU);CTU
Τσιφένγκ;CN;Asia;China;;Τσιφένγκ (CIF);CIF
Τσονγκίνγκ;CN;Asia;China;;Τσονγκίνγκ (CKG);CKG
Νταλί;CN;Asia;China;;Νταλί (DLU);DLU
Νταλιάν;CN;Asia;China;;Νταλιάν (DLC);DLC
Dandong;CN;Asia;China;Dandong Airport;Dandong - Dandong Airport (DDG);DDG
Daqing;CN;Asia;China;Saertu Airport;Daqing - Saertu Airport (DQA);DQA
Datong;CN;Asia;China;;Datong (DAT);DAT
Νταξιάν;CN;Asia;China;;Νταξιάν (DAX);DAX
Νταγιάνγκ;CN;Asia;China;;Νταγιάνγκ (DYG);DYG
Diqing;CN;Asia;China;Diqing Airport;Diqing - Diqing Airport (DIG);DIG
Dongsheng;CN;Asia;China;;Dongsheng (DSN);DSN
Ντουνχουάνγκ;CN;Asia;China;;Ντουνχουάνγκ (DNH);DNH
Ενσί;CN;Asia;China;;Ενσί (ENH);ENH
Φουγιάνγκ;CN;Asia;China;;Φουγιάνγκ (FUG);FUG
Φουτσού;CN;Asia;China;;Φουτσού (FOC);FOC
Ganzhou;CN;Asia;China;;Ganzhou (KOW);KOW
Γκολμούντ;CN;Asia;China;;Γκολμούντ (GOQ);GOQ
Γκουανγκτσού;CN;Asia;China;;Γκουανγκτσού (CAN);CAN
Γκουιλίν;CN;Asia;China;;Γκουιλίν (KWL);KWL
Γκουιγιάνγκ;CN;Asia;China;;Γκουιγιάνγκ (KWE);KWE
Χαϊκού;CN;Asia;China;;Χαϊκού (HAK);HAK
Χαϊλάρ;CN;Asia;China;;Χαϊλάρ (HLD);HLD
Hami;CN;Asia;China;;Hami (HMI);HMI
Χανγκτσού;CN;Asia;China;;Χανγκτσού (HGH);HGH
Χανζόνγκ;CN;Asia;China;;Χανζόνγκ (HZG);HZG
Χάρμπιν;CN;Asia;China;;Χάρμπιν (HRB);HRB
Χεφέι;CN;Asia;China;;Χεφέι (HFE);HFE
